filename,text to play,options,description
output/audio/en/rtrc/lowvoltage.wav,Low Voltage,,
output/audio/en/rtrc/fm-speed.wav,Flight Mode - Speed,,
output/audio/en/rtrc/fm-launch.wav,Flight Mode - Launch,,
output/audio/en/rtrc/fm-thermal.wav,Flight Mode - Thermal,,
output/audio/en/rtrc/fm-atrain.wav,Flight Mode - Acro Trainer,,
output/audio/en/rtrc/fm-cruise.wav,Flight Mode - Cruise,,
output/audio/en/rtrc/fm-normal.wav,Flight Mode - Normal,,
output/audio/en/rtrc/fm-float.wav,Flight Mode - Float,,
output/audio/en/rtrc/fm-power.wav,Flight Mode - Power,,
output/audio/en/rtrc/fm-acro.wav,Flight Mode - Acro,,
output/audio/en/rtrc/fm-race.wav,Flight Mode - Race,,
output/audio/en/rtrc/fm-land.wav,Flight Mode - Land,,
output/audio/en/rtrc/fm-angle.wav,Flight Mode - Angle,,
output/audio/en/rtrc/fm-horizon.wav,Flight Mode - Horizon,,
output/audio/en/rtrc/fm-manual.wav,Flight Mode - Manual,,
output/audio/en/rtrc/fm-hold.wav,Flight Mode - Position Hold,,
output/audio/en/rtrc/fm-rth.wav,Flight Mode - Return to Home,,
output/audio/en/rtrc/fm-air.wav,Flight Mode - Air,,
output/audio/en/rtrc/fm-crs.wav,Flight Mode - Cruise,,
output/audio/en/rtrc/autrim.wav,Auto Trim,,
output/audio/en/rtrc/autune.wav,Auto Tune,,
output/audio/en/rtrc/autune-en.wav,Auto Tune Enabled,,
output/audio/en/rtrc/autune-dis.wav,Auto Tune Disabled,,
output/audio/en/rtrc/alt-hold.wav,Altitude Hold,,
output/audio/en/rtrc/mag-hold.wav,Magnetic Hold.,,
output/audio/en/rtrc/bbl-enable.wav,"Black box logging, enabled.",,
output/audio/en/rtrc/bbl-disable.wav,"Black box logging, disabled.",,
output/audio/en/rtrc/bbl-erase.wav,"Black box log, e-rased.",,
output/audio/en/rtrc/bbl-perase.wav,"Hold for 30 seconds, to e-rase the black box logs.",,
output/audio/en/rtrc/auto-on.wav,Auto Rotation - On,,
output/audio/en/rtrc/auto-off.wav,Auto Rotation - Off,,
output/audio/en/rtrc/gyro-off.wav,Gyro Off.,,
output/audio/en/rtrc/gyro-on.wav,Gyro On.,,
output/audio/en/rtrc/fm-stab.wav,Flight Mode- Stabilize,,
output/audio/en/rtrc/fm-alock.wav,Flight Mode- Attitude Lock,,
output/audio/en/rtrc/fm-hover.wav,Flight Mode- Hover,,
output/audio/en/rtrc/armed.wav,Armed!,,
output/audio/en/rtrc/disarmed.wav,Disarmed!,,
output/audio/en/rtrc/w-armed.wav,Toggle trainer switch to arm,,
output/audio/en/rtrc/w-disarmed1.wav,Warning - Aircraft will disarm on zero throttle.,,
output/audio/en/rtrc/w-disarmed2.wav,Warning - Toggle Trainer Switch to disarm,,
output/audio/en/rtrc/w-gear-up.wav,Warning - Gear Up.,,
output/audio/en/rtrc/w-gear-dn.wav,Warning - Gear Down.,,
output/audio/en/rtrc/gear-up.wav,Gear Up,,
output/audio/en/rtrc/gear-dwn.wav,Gear Down,,
output/audio/en/rtrc/flaps-up.wav,Flaps Up,,
output/audio/en/rtrc/flaps-down.wav,Flaps Down,,
output/audio/en/rtrc/flaps-0.wav,Flaps 0%,,
output/audio/en/rtrc/flaps-25.wav,Flaps 25%,,
output/audio/en/rtrc/flaps-50.wav,Flaps 50%,,
output/audio/en/rtrc/flaps-75.wav,Flaps 75%,,
output/audio/en/rtrc/flaps-100.wav,Flaps 100%,,
output/audio/en/rtrc/gyro-gain.wav,Gyro Gain.,,
output/audio/en/rtrc/tv-on.wav,Thrust Vector On.,,
output/audio/en/rtrc/tv-off.wav,Thrust Vector Off.,,
output/audio/en/rtrc/ht-off.wav,Head Tracker Off.,,
output/audio/en/rtrc/ht-on.wav,Head Tracker On.,,
output/audio/en/rtrc/mt-idle.wav,Motor Idle Up.,,
output/audio/en/rtrc/rates-h.wav,Rates High.,,
output/audio/en/rtrc/rates-m.wav,Rates Medium.,,
output/audio/en/rtrc/rates-l.wav,Rates Low.,,
output/audio/en/rtrc/lights-on.wav,Lights On.,,
output/audio/en/rtrc/lights-off.wav,Lights Off.,,
output/audio/en/rtrc/idle-l.wav,Idle Speed Low.,,
output/audio/en/rtrc/idle-m.wav,Idle Speed Medium.,,
output/audio/en/rtrc/idle-h.wav,Idle Speed High.,,
output/audio/en/rtrc/thr-hold.wav,Throttle Hold.,,
output/audio/en/rtrc/thr-active.wav,Throttle Active.,,
output/audio/en/rtrc/idle0.wav,Idle 0.,,
output/audio/en/rtrc/idle1.wav,Idle 1.,,
output/audio/en/rtrc/idle2.wav,Idle 2.,,
output/audio/en/rtrc/fc-armed.wav,Flight Controller - Armed,,
output/audio/en/rtrc/fc-disarmd.wav,Flight Controller - Disarmed,,
output/audio/en/rtrc/thr-cut.wav,Throttle - Cut!,,
output/audio/en/rtrc/m-spoolup.wav,Motor - Spooling up!,,
output/audio/en/rtrc/m-spooldn.wav,Motor - Spooling Down!,,
output/audio/en/rtrc/headspeed.wav,Headspeed - Reached!,,
output/audio/en/rtrc/bank1.wav,Bank - One,,
output/audio/en/rtrc/bank2.wav,Bank - Two,,
output/audio/en/rtrc/bank3.wav,Bank - Three,,
output/audio/en/rtrc/bank4.wav,Bank - Four,,
output/audio/en/rtrc/bank5.wav,Bank - Five,,
output/audio/en/rtrc/bank6.wav,Bank - Six,,
output/audio/en/rtrc/fm-1.wav,flight mode one,,
output/audio/en/rtrc/fm-2.wav,flight mode two,,
output/audio/en/rtrc/fm-3.wav,flight mode three,,
output/audio/en/rtrc/fm-4.wav,flight mode four,,
output/audio/en/rtrc/fm-5.wav,flight mode five,,
output/audio/en/rtrc/fm-6.wav,flight mode six,,
output/audio/en/rtrc/fm-7.wav,flight mode seven,,
output/audio/en/rtrc/fm-8.wav,flight mode eight,,
output/audio/en/rtrc/fm-9.wav,flight mode nine,,
output/audio/en/rtrc/fm-10.wav,flight mode ten,,
output/audio/en/rtrc/fm-power.wav,flight mode power,,
output/audio/en/rtrc/fm-land.wav,flight mode land,,
output/audio/en/rtrc/fm-float.wav,flight mode float,,
output/audio/en/rtrc/fm-speed.wav,flight mode speed,,
output/audio/en/rtrc/fm-fast.wav,flight mode fast,,
output/audio/en/rtrc/fm-normal.wav,flight mode normal,,
output/audio/en/rtrc/fm-cruise.wav,flight mode cruise,,
output/audio/en/rtrc/fm-acro.wav,flight mode acro,,
output/audio/en/rtrc/fm-race.wav,flight mode race,,
output/audio/en/rtrc/fm-launch.wav,flight mode launch,,
output/audio/en/rtrc/fm-ping.wav,flight mode ping,,
output/audio/en/rtrc/fm-thermal.wav,flight mode thermal,,
output/audio/en/rtrc/fm-thermal-left.wav,flight mode thermal left,,
output/audio/en/rtrc/fm-thermal-right.wav,flight mode thermal right,,
output/audio/en/rtrc/fm-stabilize.wav,flight mode stabilize,,
output/audio/en/rtrc/fm-horizon.wav,flight mode horizon,,
output/audio/en/rtrc/fm-angle.wav,flight mode angle,,
output/audio/en/rtrc/fm-idle-1.wav,flight mode idle up 1,,
output/audio/en/rtrc/fm-idle-2.wav,flight mode idle up 2,,
output/audio/en/rtrc/vario-on.wav,vario on,,
output/audio/en/rtrc/vario-off.wav,vario off,,
output/audio/en/rtrc/rate-low.wav,low rate,,
output/audio/en/rtrc/rate-medium.wav,medium rate,,
output/audio/en/rtrc/rate-high.wav,high rate,,
output/audio/en/rtrc/take-off.wav,take off,,
output/audio/en/rtrc/sport.wav,sport,,
output/audio/en/rtrc/pattern.wav,pattern,,
output/audio/en/rtrc/3d.wav,3D,,
output/audio/en/rtrc/landing.wav,landing,,
output/audio/en/rtrc/on.wav,on,,
output/audio/en/rtrc/off.wav,off,,
output/audio/en/rtrc/brakes-on.wav,brakes on,,
output/audio/en/rtrc/brakes-off.wav,brakes off,,
output/audio/en/rtrc/butterfly-on.wav,butterfly on,,
output/audio/en/rtrc/butterfly-off.wav,butterfly off,,
output/audio/en/rtrc/flaps-1.wav,flaps one,,
output/audio/en/rtrc/flpaps-2.wav,flaps two,,
output/audio/en/rtrc/flaps-3.wav,flaps three,,
output/audio/en/rtrc/flaps-4.wav,flaps four,,
output/audio/en/rtrc/flaps-5.wav,flaps five,,
output/audio/en/rtrc/wheel-brakes-on.wav,wheel brakes on,,
output/audio/en/rtrc/wheel-brakes-off.wav,wheel brakes off,,
output/audio/en/rtrc/rth.wav,return to home,,
output/audio/en/rtrc/manual.wav,manual,,
output/audio/en/rtrc/auto.wav,auto,,
output/audio/en/rtrc/osd.wav,OSD,,
output/audio/en/rtrc/turtle-on.wav,turtle mode on,,
output/audio/en/rtrc/turtle-off.wav,turtle mode off,,
output/audio/en/rtrc/flip.wav,flip,,
output/audio/en/rtrc/autorotate.wav,autorotation,,
output/audio/en/rtrc/telemetry.wav,telemetry,,
output/audio/en/rtrc/telemetry-log-on.wav,telemetry logging on,,
output/audio/en/rtrc/telemetry-log-off.wav,telemetry logging off,,
output/audio/en/rtrc/vtx-on.wav,VTX on,,
output/audio/en/rtrc/vtx-off.wav,VTX off,,
output/audio/en/rtrc/start.wav,start,,
output/audio/en/rtrc/stop.wav,stop,,
output/audio/en/rtrc/li-on.wav,lights on,,
output/audio/en/rtrc/li-off.wav,lights off,,
output/audio/en/rtrc/thrcut.wav,throttle cut,,
output/audio/en/rtrc/thrhold.wav,throttle hold,,
output/audio/en/rtrc/osd-on.wav,OSD on,,
output/audio/en/rtrc/osd-off.wav,OSD off,,
output/audio/en/rtrc/tmr1rst.wav,timer 1 reset,,
output/audio/en/rtrc/tmr2rst.wav,timer 2 reset,,
output/audio/en/rtrc/tmr3rst.wav,timer 3 reset,,
output/audio/en/rtrc/tmron.wav,timer on,,
output/audio/en/rtrc/tmroff.wav,timer off,,
